Anstalt,DatabaseName,ElasticName
3570,ma_index_szy,ee_ma_index_3570
3578,ma_index_tzy,ee_ma_index_3578
9099,ma_index_gzf,ee_ma_index_9099
9103,ma_index_kfj,ee_ma_index_9103
9163,ma_index_khl,ee_ma_index_9163
9173,ma_index_kar,ee_ma_index_9173
9213,ma_index_wil,ee_ma_index_9213
9249,ma_index_gzb,ee_ma_index_9249
9359,ma_index_9359,ee_ma_index_9359
9369,ma_index_9369,ee_ma_index_9369
9399,ma_index_gzl,ee_ma_index_9399
9449,ma_index_9449,ee_ma_index_9449
9479,ma_index_9479,ee_ma_index_9479
9563,ma_index_smz,ee_ma_index_9563
9569,ma_index_gzd,ee_ma_index_9569
9718,ma_index_ows,ee_ma_index_9718
9763,ma_index_9763,ee_ma_index_9763
9809,ma_index_9809,ee_ma_index_9809
